head,tail,level
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Bloomsbury_Publishing,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Scholastic_Corporation,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Theme_(literature),2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Fantasy,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Universal_Parks_&_Resorts,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Warner_Bros._Pictures,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Pottermore,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/School_story,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Coming_of_age,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Harry_Potter_(character),2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Adventure_novel,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/J._K._Rowling,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Genre,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Jude_Law,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Lord_Voldemort,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(film),2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Harry_Potter,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Magic_in_Harry_Potter,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Richard_Harris,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Prequel,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Hogwarts,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone_(film),2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Michael_Gambon,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/J._K._Rowling,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Bumblebee,2
https://en.wikipedia.org/wiki/Albus_Dumbledore,https://en.wikipedia.org/wiki/Order_of_the_Phoenix_(fiction),2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Troll,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Harry_Potter,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Hogwarts,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Ron_Weasley,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone_(film),2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_-_Part_2,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/The_Hollywood_Reporter,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Harry_Potter_(character),2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Emma_Watson,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/J._K._Rowling,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone,2
https://en.wikipedia.org/wiki/Hermione_Granger,https://en.wikipedia.org/wiki/Harry_Potter_(film_series),2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Harry_Potter,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Magic_in_Harry_Potter,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Hogwort,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Geoffrey_Willans,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Loretto_School,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Kew_Gardens,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/J._K._Rowling,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Boarding_school,2
https://en.wikipedia.org/wiki/Hogwarts,https://en.wikipedia.org/wiki/Nigel_Molesworth,2
https://en.wikipedia.org/wiki/Protagonist,https://en.wikipedia.org/wiki/Hamlet,2
https://en.wikipedia.org/wiki/Protagonist,https://en.wikipedia.org/wiki/Subplot,2
https://en.wikipedia.org/wiki/Protagonist,https://en.wikipedia.org/wiki/William_Shakespeare,2
https://en.wikipedia.org/wiki/Protagonist,https://en.wikipedia.org/wiki/Ancient_Greek_language,2
https://en.wikipedia.org/wiki/Protagonist,https://en.wikipedia.org/wiki/Protagonist_(disambiguation),2
https://en.wikipedia.org/wiki/Protagonist,https://en.wikipedia.org/wiki/Antagonist,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Welfare_state_in_the_United_Kingdom,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Pen_name,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Time_Person_of_the_Year,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Fellow_of_the_Royal_College_of_Physicians_of_Edinburgh,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/The_Cuckoo's_Calling,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Yate,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Lethal_White,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Cormoran_Strike,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Harry_Potter,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Harry_Potter_fandom,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Multiple_Sclerosis_Society_of_Great_Britain,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Companion_of_Honour,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/The_Ickabog,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Rags_to_riches,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/The_Silkworm,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Politics_of_Harry_Potter,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/One_Parent_Families,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Harry_Potter_(film_series),2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Forbes,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/London,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Career_of_Evil,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Amnesty_International,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Member_of_the_Order_of_the_Companions_of_Honour,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Lumos_(charity),2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/List_of_best-selling_books,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Sunday_Times_Rich_List_2020,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Time_(magazine),2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Comic_Relief_(charity),2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Manchester,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society_of_Literature,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Honorary_Fellow_of_the_Royal_Society_of_Edinburgh,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Officer_of_the_Order_of_the_British_Empire,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/Crime_fiction,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/2017_Birthday_Honours,2
https://en.wikipedia.org/wiki/J.K._Rowling,https://en.wikipedia.org/wiki/The_Casual_Vacancy,2
https://en.wikipedia.org/wiki/Orphan,https://en.wikipedia.org/wiki/Romanization_of_Greek,2
https://en.wikipedia.org/wiki/Orphan,https://en.wikipedia.org/wiki/Greek_language,2
https://en.wikipedia.org/wiki/Orphan,https://en.wikipedia.org/wiki/Thomas_Benjamin_Kennington,2
https://en.wikipedia.org/wiki/Orphan,https://en.wikipedia.org/wiki/Oil_on_canvas,2
https://en.wikipedia.org/wiki/Orphan,https://en.wikipedia.org/wiki/Orphan_(disambiguation),2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Novel,2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Harry_Potter,2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Hermione_Granger,2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Gryffindor,2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Harry_Potter_(character),2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Fantasy,2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone,2
https://en.wikipedia.org/wiki/Ron_Weasley,https://en.wikipedia.org/wiki/J._K._Rowling,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Folklore,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Incantation,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Supernatural,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Warlock,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Role-playing_games,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Magician_(disambiguation),2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Legend,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Witch,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Marie_Spartali_Stillman,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Sorcerer_(paranormal),2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Arcane,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Fiction,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Occult,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Fantasy,2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Magi_(disambiguation),2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Wizard_(paranormal),2
https://en.wikipedia.org/wiki/Magician_(fantasy),https://en.wikipedia.org/wiki/Mythology,2
